"","X1","X1_3","X1_2","X1_1","stimuliShown","group_1","perceptual_result","block","stim1","stim2","response","rt","reward","ID","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","trial_n","trigger_integer","buttonBox_2.keys","participant","ID_n","trigger_feedback","trialIndex","first_observer","second_observer","block_soc","pair_type"
"4114",4125,4125,4125,4125,31,"overestimator","overestimator",2,3,1,1,0.8162188,58,8,1,2,1,NA,0,0,NA,1,NA,154,154,334,154,31,"1","sub-008",8,32,154,"in-group","out-group","in-group","different"
"4115",4126,4126,4126,4126,23,"overestimator","overestimator",2,2,3,0,0.5670111,58,8,2,4,1,NA,0,1,NA,1,NA,155,155,335,155,23,"0","sub-008",8,24,155,"in-group","out-group","in-group","different"
"4116",4127,4127,4127,4127,34,"overestimator","overestimator",2,3,4,1,0.573028,47,8,4,6,NA,0,0,0,-1,NA,0,156,156,336,156,34,"1","sub-008",8,35,156,"in-group","out-group","in-group","both_low"
"4117",4128,4128,4128,4128,13,"overestimator","overestimator",2,1,3,0,0.6401402,38,8,1,2,1,NA,0,1,NA,1,NA,157,157,337,157,13,"0","sub-008",8,14,157,"in-group","out-group","in-group","different"
"4118",4129,4129,4129,4129,41,"overestimator","overestimator",2,4,1,0,0.5779039,44,8,4,3,0,NA,0,1,NA,0,NA,158,158,338,158,41,"0","sub-008",8,42,158,"in-group","out-group","in-group","different"
"4119",4130,4130,4130,4130,21,"overestimator","overestimator",2,2,1,0,0.6924549,72,8,2,1,NA,0,0,1,1,NA,0,159,159,339,159,21,"0","sub-008",8,22,159,"in-group","out-group","in-group","both_high"
"4120",4131,4131,4131,4131,14,"overestimator","overestimator",2,1,4,0,1.0294324,75,8,1,3,1,NA,0,1,NA,1,NA,160,160,340,160,14,"0","sub-008",8,15,160,"in-group","out-group","in-group","different"
"4121",4132,4132,4132,4132,41,"overestimator","overestimator",2,4,1,1,1.3457197,40,8,1,3,1,NA,0,0,NA,1,NA,161,161,341,161,41,"1","sub-008",8,42,161,"in-group","out-group","in-group","different"
"4122",4133,4133,4133,4133,21,"overestimator","overestimator",2,2,1,0,0.6666788,58,8,2,1,NA,0,0,1,1,NA,0,162,162,342,162,21,"0","sub-008",8,22,162,"in-group","out-group","in-group","both_high"
"4123",4134,4134,4134,4134,14,"overestimator","overestimator",2,1,4,0,0.7914814,57,8,1,3,1,NA,0,1,NA,1,NA,163,163,343,163,14,"0","sub-008",8,15,163,"in-group","out-group","in-group","different"
"4124",4135,4135,4135,4135,12,"overestimator","overestimator",2,1,2,1,0.7920573,54,8,2,1,NA,0,0,0,1,NA,0,164,164,344,164,12,"1","sub-008",8,13,164,"in-group","out-group","in-group","both_high"
"4125",4136,4136,4136,4136,42,"overestimator","overestimator",2,4,2,1,0.9435392,61,8,2,5,1,NA,0,0,NA,1,NA,165,165,345,165,42,"1","sub-008",8,43,165,"in-group","out-group","in-group","different"
"4126",4137,4137,4137,4137,34,"overestimator","overestimator",2,3,4,0,1.2949527,13,8,3,6,NA,1,0,1,-1,NA,1,166,166,346,166,34,"0","sub-008",8,35,166,"in-group","out-group","in-group","both_low"
"4127",4138,4138,4138,4138,31,"overestimator","overestimator",2,3,1,1,0.9409828,41,8,1,2,1,NA,0,0,NA,1,NA,167,167,347,167,31,"1","sub-008",8,32,167,"in-group","out-group","in-group","different"
"4128",4139,4139,4139,4139,24,"overestimator","overestimator",2,2,4,0,0.5307699,64,8,2,5,1,NA,0,1,NA,1,NA,168,168,348,168,24,"0","sub-008",8,25,168,"in-group","out-group","in-group","different"
"4129",4140,4140,4140,4140,12,"overestimator","overestimator",2,1,2,1,0.6411764,60,8,2,1,NA,0,0,0,1,NA,0,169,169,349,169,12,"1","sub-008",8,13,169,"in-group","out-group","in-group","both_high"
"4130",4141,4141,4141,4141,31,"overestimator","overestimator",2,3,1,1,0.8032007,29,8,1,2,1,NA,0,0,NA,1,NA,170,170,350,170,31,"1","sub-008",8,32,170,"in-group","out-group","in-group","different"
"4131",4142,4142,4142,4142,32,"overestimator","overestimator",2,3,2,1,0.6019775,65,8,2,4,1,NA,0,0,NA,1,NA,171,171,351,171,32,"1","sub-008",8,33,171,"in-group","out-group","in-group","different"
"4132",4143,4143,4143,4143,21,"overestimator","overestimator",2,2,1,0,0.466109,62,8,2,1,NA,0,0,1,1,NA,0,172,172,352,172,21,"0","sub-008",8,22,172,"in-group","out-group","in-group","both_high"
"4133",4144,4144,4144,4144,14,"overestimator","overestimator",2,1,4,0,1.2166934,38,8,1,3,1,NA,0,1,NA,1,NA,173,173,353,173,14,"0","sub-008",8,15,173,"in-group","out-group","in-group","different"
"4134",4145,4145,4145,4145,14,"overestimator","overestimator",2,1,4,0,0.7561851,44,8,1,3,1,NA,0,1,NA,1,NA,174,174,354,174,14,"0","sub-008",8,15,174,"in-group","out-group","in-group","different"
"4135",4146,4146,4146,4146,21,"overestimator","overestimator",2,2,1,0,0.6202921,57,8,2,1,NA,0,0,1,1,NA,0,175,175,355,175,21,"0","sub-008",8,22,175,"in-group","out-group","in-group","both_high"
"4136",4147,4147,4147,4147,12,"overestimator","overestimator",2,1,2,1,0.5652344,48,8,2,1,NA,0,0,0,1,NA,0,176,176,356,176,12,"1","sub-008",8,13,176,"in-group","out-group","in-group","both_high"
"4137",4148,4148,4148,4148,24,"overestimator","overestimator",2,2,4,0,0.5666647,64,8,2,5,1,NA,0,1,NA,1,NA,177,177,357,177,24,"0","sub-008",8,25,177,"in-group","out-group","in-group","different"
"4138",4149,4149,4149,4149,12,"overestimator","overestimator",2,1,2,1,0.531962,50,8,2,1,NA,0,0,0,1,NA,0,178,178,358,178,12,"1","sub-008",8,13,178,"in-group","out-group","in-group","both_high"
"4139",4150,4150,4150,4150,13,"overestimator","overestimator",2,1,3,0,1.5504398,81,8,1,2,1,NA,0,1,NA,1,NA,179,179,359,179,13,"0","sub-008",8,14,179,"in-group","out-group","in-group","different"
"4140",4151,4151,4151,4151,13,"overestimator","overestimator",2,1,3,0,0.4041153,70,8,1,2,1,NA,0,1,NA,1,NA,180,180,360,180,13,"0","sub-008",8,14,180,"in-group","out-group","in-group","different"
"4141",4152,4152,4152,4152,21,"overestimator","overestimator",3,2,1,1,1.16752,66,8,1,1,NA,1,0,0,1,NA,1,1,1,361,1,21,"1","sub-008",8,22,1,"in-group","out-group","out-group","both_high"
"4142",4153,4153,4153,4153,14,"overestimator","overestimator",3,1,4,0,0.7674486,61,8,1,3,1,NA,0,1,NA,1,NA,2,2,362,2,14,"0","sub-008",8,15,2,"in-group","out-group","out-group","different"
"4143",4154,4154,4154,4154,23,"overestimator","overestimator",3,2,3,1,0.7908372,18,8,3,4,0,NA,0,0,NA,0,NA,3,3,363,3,23,"1","sub-008",8,24,3,"in-group","out-group","out-group","different"
"4144",4155,4155,4155,4155,34,"overestimator","overestimator",3,3,4,1,0.8810899,43,8,4,6,NA,0,0,0,-1,NA,0,4,4,364,4,34,"1","sub-008",8,35,4,"in-group","out-group","out-group","both_low"
"4145",4156,4156,4156,4156,43,"overestimator","overestimator",3,4,3,0,1.2273705,40,8,4,6,NA,0,0,1,-1,NA,0,5,5,365,5,43,"0","sub-008",8,44,5,"in-group","out-group","out-group","both_low"
"4146",4157,4157,4157,4157,21,"overestimator","overestimator",3,2,1,1,1.1674278,93,8,1,1,NA,1,0,0,1,NA,1,6,6,366,6,21,"1","sub-008",8,22,6,"in-group","out-group","out-group","both_high"
"4147",4158,4158,4158,4158,14,"overestimator","overestimator",3,1,4,0,0.6681857,57,8,1,3,1,NA,0,1,NA,1,NA,7,7,367,7,14,"0","sub-008",8,15,7,"in-group","out-group","out-group","different"
"4148",4159,4159,4159,4159,21,"overestimator","overestimator",3,2,1,1,1.3298581,79,8,1,1,NA,1,0,0,1,NA,1,8,8,368,8,21,"1","sub-008",8,22,8,"in-group","out-group","out-group","both_high"
"4149",4160,4160,4160,4160,42,"overestimator","overestimator",3,4,2,0,1.6795741,34,8,4,5,0,NA,0,1,NA,0,NA,9,9,369,9,42,"0","sub-008",8,43,9,"in-group","out-group","out-group","different"
"4150",4161,4161,4161,4161,23,"overestimator","overestimator",3,2,3,0,1.5587626,60,8,2,4,1,NA,0,1,NA,1,NA,10,10,370,10,23,"0","sub-008",8,24,10,"in-group","out-group","out-group","different"
"4151",4162,4162,4162,4162,42,"overestimator","overestimator",3,4,2,0,0.7694153,32,8,4,5,0,NA,0,1,NA,0,NA,11,11,371,11,42,"0","sub-008",8,43,11,"in-group","out-group","out-group","different"
"4152",4163,4163,4163,4163,23,"overestimator","overestimator",3,2,3,0,0.629079,56,8,2,4,1,NA,0,1,NA,1,NA,12,12,372,12,23,"0","sub-008",8,24,12,"in-group","out-group","out-group","different"
"4153",4164,4164,4164,4164,14,"overestimator","overestimator",3,1,4,0,0.7151259,77,8,1,3,1,NA,0,1,NA,1,NA,13,13,373,13,14,"0","sub-008",8,15,13,"in-group","out-group","out-group","different"
"4154",4165,4165,4165,4165,23,"overestimator","overestimator",3,2,3,0,1.6988995,61,8,2,4,1,NA,0,1,NA,1,NA,14,14,374,14,23,"0","sub-008",8,24,14,"in-group","out-group","out-group","different"
"4155",4166,4166,4166,4166,32,"overestimator","overestimator",3,3,2,1,1.0306534,51,8,2,4,1,NA,0,0,NA,1,NA,15,15,375,15,32,"1","sub-008",8,33,15,"in-group","out-group","out-group","different"
"4156",4167,4167,4167,4167,32,"overestimator","overestimator",3,3,2,1,1.5051364,49,8,2,4,1,NA,0,0,NA,1,NA,16,16,376,16,32,"1","sub-008",8,33,16,"in-group","out-group","out-group","different"
"4157",4168,4168,4168,4168,32,"overestimator","overestimator",3,3,2,1,0.6800546,55,8,2,4,1,NA,0,0,NA,1,NA,17,17,377,17,32,"1","sub-008",8,33,17,"in-group","out-group","out-group","different"
"4158",4169,4169,4169,4169,32,"overestimator","overestimator",3,3,2,1,0.6166621,54,8,2,4,1,NA,0,0,NA,1,NA,18,18,378,18,32,"1","sub-008",8,33,18,"in-group","out-group","out-group","different"
"4159",4170,4170,4170,4170,31,"overestimator","overestimator",3,3,1,1,1.004754,63,8,1,2,1,NA,0,0,NA,1,NA,19,19,379,19,31,"1","sub-008",8,32,19,"in-group","out-group","out-group","different"
"4160",4171,4171,4171,4171,34,"overestimator","overestimator",3,3,4,1,0.5683582,44,8,4,6,NA,0,0,0,-1,NA,0,20,20,380,20,34,"1","sub-008",8,35,20,"in-group","out-group","out-group","both_low"
"4161",4172,4172,4172,4172,32,"overestimator","overestimator",3,3,2,1,1.4036639,64,8,2,4,1,NA,0,0,NA,1,NA,21,21,381,21,32,"1","sub-008",8,33,21,"in-group","out-group","out-group","different"
"4162",4173,4173,4173,4173,23,"overestimator","overestimator",3,2,3,0,0.9686135,61,8,2,4,1,NA,0,1,NA,1,NA,22,22,382,22,23,"0","sub-008",8,24,22,"in-group","out-group","out-group","different"
"4163",4174,4174,4174,4174,14,"overestimator","overestimator",3,1,4,0,1.8198517,75,8,1,3,1,NA,0,1,NA,1,NA,23,23,383,23,14,"0","sub-008",8,15,23,"in-group","out-group","out-group","different"
"4164",4175,4175,4175,4175,13,"overestimator","overestimator",3,1,3,0,1.4645026,50,8,1,2,1,NA,0,1,NA,1,NA,24,24,384,24,13,"0","sub-008",8,14,24,"in-group","out-group","out-group","different"
"4165",4176,4176,4176,4176,34,"overestimator","overestimator",3,3,4,1,1.4020817,44,8,4,6,NA,0,0,0,-1,NA,0,25,25,385,25,34,"1","sub-008",8,35,25,"in-group","out-group","out-group","both_low"
"4166",4177,4177,4177,4177,32,"overestimator","overestimator",3,3,2,1,1.409828,55,8,2,4,1,NA,0,0,NA,1,NA,26,26,386,26,32,"1","sub-008",8,33,26,"in-group","out-group","out-group","different"
"4167",4178,4178,4178,4178,32,"overestimator","overestimator",3,3,2,1,0.8290702,67,8,2,4,1,NA,0,0,NA,1,NA,27,27,387,27,32,"1","sub-008",8,33,27,"in-group","out-group","out-group","different"
"4168",4179,4179,4179,4179,12,"overestimator","overestimator",3,1,2,1,0.4893353,71,8,2,1,NA,0,0,0,1,NA,0,28,28,388,28,12,"1","sub-008",8,13,28,"in-group","out-group","out-group","both_high"
"4169",4180,4180,4180,4180,13,"overestimator","overestimator",3,1,3,0,0.6677556,52,8,1,2,1,NA,0,1,NA,1,NA,29,29,389,29,13,"0","sub-008",8,14,29,"in-group","out-group","out-group","different"
"4170",4181,4181,4181,4181,41,"overestimator","overestimator",3,4,1,1,1.1393052,64,8,1,3,1,NA,0,0,NA,1,NA,30,30,390,30,41,"1","sub-008",8,42,30,"in-group","out-group","out-group","different"
"4171",4182,4182,4182,4182,41,"overestimator","overestimator",3,4,1,1,1.1828852,45,8,1,3,1,NA,0,0,NA,1,NA,31,31,391,31,41,"1","sub-008",8,42,31,"in-group","out-group","out-group","different"
"4172",4183,4183,4183,4183,13,"overestimator","overestimator",3,1,3,0,0.5951985,55,8,1,2,1,NA,0,1,NA,1,NA,32,32,392,32,13,"0","sub-008",8,14,32,"in-group","out-group","out-group","different"
"4173",4184,4184,4184,4184,14,"overestimator","overestimator",3,1,4,0,0.432205,80,8,1,3,1,NA,0,1,NA,1,NA,33,33,393,33,14,"0","sub-008",8,15,33,"in-group","out-group","out-group","different"
"4174",4185,4185,4185,4185,42,"overestimator","overestimator",3,4,2,NA,NA,62,8,0,5,0,NA,0,NA,NA,NA,NA,34,34,394,34,42,"None","sub-008",8,43,34,"in-group","out-group","out-group","different"
"4175",4186,4186,4186,4186,12,"overestimator","overestimator",3,1,2,0,0.6294344,66,8,1,1,NA,1,0,1,1,NA,1,35,35,395,35,12,"0","sub-008",8,13,35,"in-group","out-group","out-group","both_high"
"4176",4187,4187,4187,4187,42,"overestimator","overestimator",3,4,2,1,1.1438376,69,8,2,5,1,NA,0,0,NA,1,NA,36,36,396,36,42,"1","sub-008",8,43,36,"in-group","out-group","out-group","different"
"4177",4188,4188,4188,4188,21,"overestimator","overestimator",3,2,1,0,0.6929998,59,8,2,1,NA,0,0,1,1,NA,0,37,37,397,37,21,"0","sub-008",8,22,37,"in-group","out-group","out-group","both_high"
"4178",4189,4189,4189,4189,42,"overestimator","overestimator",3,4,2,0,1.6064781,30,8,4,5,0,NA,0,1,NA,0,NA,38,38,398,38,42,"0","sub-008",8,43,38,"in-group","out-group","out-group","different"
"4179",4190,4190,4190,4190,31,"overestimator","overestimator",3,3,1,1,0.7402611,58,8,1,2,1,NA,0,0,NA,1,NA,39,39,399,39,31,"1","sub-008",8,32,39,"in-group","out-group","out-group","different"
"4180",4191,4191,4191,4191,43,"overestimator","overestimator",3,4,3,1,1.5772059,28,8,3,6,NA,1,0,0,-1,NA,1,40,40,400,40,43,"1","sub-008",8,44,40,"in-group","out-group","out-group","both_low"
"4181",4192,4192,4192,4192,21,"overestimator","overestimator",3,2,1,0,0.767063,62,8,2,1,NA,0,0,1,1,NA,0,41,41,401,41,21,"0","sub-008",8,22,41,"in-group","out-group","out-group","both_high"
"4182",4193,4193,4193,4193,13,"overestimator","overestimator",3,1,3,0,0.5400611,73,8,1,2,1,NA,0,1,NA,1,NA,42,42,402,42,13,"0","sub-008",8,14,42,"in-group","out-group","out-group","different"
"4183",4194,4194,4194,4194,12,"overestimator","overestimator",3,1,2,0,0.6774012,58,8,1,1,NA,1,0,1,1,NA,1,43,43,403,43,12,"0","sub-008",8,13,43,"in-group","out-group","out-group","both_high"
"4184",4195,4195,4195,4195,13,"overestimator","overestimator",3,1,3,0,1.5629217,63,8,1,2,1,NA,0,1,NA,1,NA,44,44,404,44,13,"0","sub-008",8,14,44,"in-group","out-group","out-group","different"
"4185",4196,4196,4196,4196,41,"overestimator","overestimator",3,4,1,1,0.6978673,40,8,1,3,1,NA,0,0,NA,1,NA,45,45,405,45,41,"1","sub-008",8,42,45,"in-group","out-group","out-group","different"
"4186",4197,4197,4197,4197,32,"overestimator","overestimator",3,3,2,1,2.4277613,65,8,2,4,1,NA,0,0,NA,1,NA,46,46,406,46,32,"1","sub-008",8,33,46,"in-group","out-group","out-group","different"
"4187",4198,4198,4198,4198,24,"overestimator","overestimator",3,2,4,0,0.7183155,63,8,2,5,1,NA,0,1,NA,1,NA,47,47,407,47,24,"0","sub-008",8,25,47,"in-group","out-group","out-group","different"
"4188",4199,4199,4199,4199,13,"overestimator","overestimator",3,1,3,0,0.603863,48,8,1,2,1,NA,0,1,NA,1,NA,48,48,408,48,13,"0","sub-008",8,14,48,"in-group","out-group","out-group","different"
"4189",4200,4200,4200,4200,34,"overestimator","overestimator",3,3,4,0,1.1066851,27,8,3,6,NA,1,0,1,-1,NA,1,49,49,409,49,34,"0","sub-008",8,35,49,"in-group","out-group","out-group","both_low"
"4190",4201,4201,4201,4201,24,"overestimator","overestimator",3,2,4,0,0.6904016,56,8,2,5,1,NA,0,1,NA,1,NA,50,50,410,50,24,"0","sub-008",8,25,50,"in-group","out-group","out-group","different"
"4191",4202,4202,4202,4202,41,"overestimator","overestimator",3,4,1,1,0.83121,62,8,1,3,1,NA,0,0,NA,1,NA,51,51,411,51,41,"1","sub-008",8,42,51,"in-group","out-group","out-group","different"
"4192",4203,4203,4203,4203,41,"overestimator","overestimator",3,4,1,1,0.4297038,50,8,1,3,1,NA,0,0,NA,1,NA,52,52,412,52,41,"1","sub-008",8,42,52,"in-group","out-group","out-group","different"
"4193",4204,4204,4204,4204,42,"overestimator","overestimator",3,4,2,1,1.4526902,58,8,2,5,1,NA,0,0,NA,1,NA,53,53,413,53,42,"1","sub-008",8,43,53,"in-group","out-group","out-group","different"
"4194",4205,4205,4205,4205,42,"overestimator","overestimator",3,4,2,1,0.3974748,51,8,2,5,1,NA,0,0,NA,1,NA,54,54,414,54,42,"1","sub-008",8,43,54,"in-group","out-group","out-group","different"
"4195",4206,4206,4206,4206,34,"overestimator","overestimator",3,3,4,1,1.6126664,31,8,4,6,NA,0,0,0,-1,NA,0,55,55,415,55,34,"1","sub-008",8,35,55,"in-group","out-group","out-group","both_low"
"4196",4207,4207,4207,4207,41,"overestimator","overestimator",3,4,1,1,0.6161179,33,8,1,3,1,NA,0,0,NA,1,NA,56,56,416,56,41,"1","sub-008",8,42,56,"in-group","out-group","out-group","different"
"4197",4208,4208,4208,4208,13,"overestimator","overestimator",3,1,3,0,0.5580858,71,8,1,2,1,NA,0,1,NA,1,NA,57,57,417,57,13,"0","sub-008",8,14,57,"in-group","out-group","out-group","different"
"4198",4209,4209,4209,4209,32,"overestimator","overestimator",3,3,2,NA,NA,55,8,0,4,0,NA,0,NA,NA,NA,NA,58,58,418,58,32,"None","sub-008",8,33,58,"in-group","out-group","out-group","different"
"4199",4210,4210,4210,4210,13,"overestimator","overestimator",3,1,3,0,0.4709975,37,8,1,2,1,NA,0,1,NA,1,NA,59,59,419,59,13,"0","sub-008",8,14,59,"in-group","out-group","out-group","different"
"4200",4211,4211,4211,4211,43,"overestimator","overestimator",3,4,3,0,0.514968,33,8,4,6,NA,0,0,1,-1,NA,0,60,60,420,60,43,"0","sub-008",8,44,60,"in-group","out-group","out-group","both_low"
"4201",4212,4212,4212,4212,31,"overestimator","overestimator",3,3,1,1,0.5536428,57,8,1,2,1,NA,0,0,NA,1,NA,61,61,421,61,31,"1","sub-008",8,32,61,"in-group","out-group","out-group","different"
"4202",4213,4213,4213,4213,34,"overestimator","overestimator",3,3,4,1,0.8287225,52,8,4,6,NA,0,0,0,-1,NA,0,62,62,422,62,34,"1","sub-008",8,35,62,"in-group","out-group","out-group","both_low"
"4203",4214,4214,4214,4214,41,"overestimator","overestimator",3,4,1,0,0.4419063,43,8,4,3,0,NA,0,1,NA,0,NA,63,63,423,63,41,"0","sub-008",8,42,63,"in-group","out-group","out-group","different"
"4204",4215,4215,4215,4215,31,"overestimator","overestimator",3,3,1,1,0.3798846,32,8,1,2,1,NA,0,0,NA,1,NA,64,64,424,64,31,"1","sub-008",8,32,64,"in-group","out-group","out-group","different"
"4205",4216,4216,4216,4216,12,"overestimator","overestimator",3,1,2,0,0.4304419,70,8,1,1,NA,1,0,1,1,NA,1,65,65,425,65,12,"0","sub-008",8,13,65,"in-group","out-group","out-group","both_high"
"4206",4217,4217,4217,4217,12,"overestimator","overestimator",3,1,2,0,0.4025206,52,8,1,1,NA,1,0,1,1,NA,1,66,66,426,66,12,"0","sub-008",8,13,66,"in-group","out-group","out-group","both_high"
"4207",4218,4218,4218,4218,43,"overestimator","overestimator",3,4,3,1,0.8909852,37,8,3,6,NA,1,0,0,-1,NA,1,67,67,427,67,43,"1","sub-008",8,44,67,"in-group","out-group","out-group","both_low"
"4208",4219,4219,4219,4219,23,"overestimator","overestimator",3,2,3,0,0.6043467,48,8,2,4,1,NA,0,1,NA,1,NA,68,68,428,68,23,"0","sub-008",8,24,68,"in-group","out-group","out-group","different"
"4209",4220,4220,4220,4220,23,"overestimator","overestimator",3,2,3,0,0.5921126,60,8,2,4,1,NA,0,1,NA,1,NA,69,69,429,69,23,"0","sub-008",8,24,69,"in-group","out-group","out-group","different"
"4210",4221,4221,4221,4221,23,"overestimator","overestimator",3,2,3,0,0.4795501,52,8,2,4,1,NA,0,1,NA,1,NA,70,70,430,70,23,"0","sub-008",8,24,70,"in-group","out-group","out-group","different"
"4211",4222,4222,4222,4222,23,"overestimator","overestimator",3,2,3,0,0.3785979,63,8,2,4,1,NA,0,1,NA,1,NA,71,71,431,71,23,"0","sub-008",8,24,71,"in-group","out-group","out-group","different"
"4212",4223,4223,4223,4223,24,"overestimator","overestimator",3,2,4,0,0.4910732,54,8,2,5,1,NA,0,1,NA,1,NA,72,72,432,72,24,"0","sub-008",8,25,72,"in-group","out-group","out-group","different"
"4213",4224,4224,4224,4224,24,"overestimator","overestimator",3,2,4,0,0.3898375,65,8,2,5,1,NA,0,1,NA,1,NA,73,73,433,73,24,"0","sub-008",8,25,73,"in-group","out-group","out-group","different"
"4214",4225,4225,4225,4225,34,"overestimator","overestimator",3,3,4,0,1.0531282,36,8,3,6,NA,1,0,1,-1,NA,1,74,74,434,74,34,"0","sub-008",8,35,74,"in-group","out-group","out-group","both_low"
"4215",4226,4226,4226,4226,41,"overestimator","overestimator",3,4,1,1,0.9535308,91,8,1,3,1,NA,0,0,NA,1,NA,75,75,435,75,41,"1","sub-008",8,42,75,"in-group","out-group","out-group","different"
"4216",4227,4227,4227,4227,24,"overestimator","overestimator",3,2,4,0,0.7037923,52,8,2,5,1,NA,0,1,NA,1,NA,76,76,436,76,24,"0","sub-008",8,25,76,"in-group","out-group","out-group","different"
"4217",4228,4228,4228,4228,32,"overestimator","overestimator",3,3,2,1,0.9263192,56,8,2,4,1,NA,0,0,NA,1,NA,77,77,437,77,32,"1","sub-008",8,33,77,"in-group","out-group","out-group","different"
"4218",4229,4229,4229,4229,31,"overestimator","overestimator",3,3,1,1,0.5278158,64,8,1,2,1,NA,0,0,NA,1,NA,78,78,438,78,31,"1","sub-008",8,32,78,"in-group","out-group","out-group","different"
"4219",4230,4230,4230,4230,31,"overestimator","overestimator",3,3,1,1,0.4945755,29,8,1,2,1,NA,0,0,NA,1,NA,79,79,439,79,31,"1","sub-008",8,32,79,"in-group","out-group","out-group","different"
"4220",4231,4231,4231,4231,14,"overestimator","overestimator",3,1,4,0,0.5188362,54,8,1,3,1,NA,0,1,NA,1,NA,80,80,440,80,14,"0","sub-008",8,15,80,"in-group","out-group","out-group","different"
"4221",4232,4232,4232,4232,21,"overestimator","overestimator",3,2,1,1,0.3301439,62,8,1,1,NA,1,0,0,1,NA,1,81,81,441,81,21,"1","sub-008",8,22,81,"in-group","out-group","out-group","both_high"
"4222",4233,4233,4233,4233,43,"overestimator","overestimator",3,4,3,1,1.0029892,50,8,3,6,NA,1,0,0,-1,NA,1,82,82,442,82,43,"1","sub-008",8,44,82,"in-group","out-group","out-group","both_low"
"4223",4234,4234,4234,4234,43,"overestimator","overestimator",3,4,3,1,0.7821833,44,8,3,6,NA,1,0,0,-1,NA,1,83,83,443,83,43,"1","sub-008",8,44,83,"in-group","out-group","out-group","both_low"
"4224",4235,4235,4235,4235,12,"overestimator","overestimator",3,1,2,0,0.7420319,47,8,1,1,NA,1,0,1,1,NA,1,84,84,444,84,12,"0","sub-008",8,13,84,"in-group","out-group","out-group","both_high"
"4225",4236,4236,4236,4236,13,"overestimator","overestimator",3,1,3,0,0.8778289,84,8,1,2,1,NA,0,1,NA,1,NA,85,85,445,85,13,"0","sub-008",8,14,85,"in-group","out-group","out-group","different"
"4226",4237,4237,4237,4237,24,"overestimator","overestimator",3,2,4,0,0.6052982,72,8,2,5,1,NA,0,1,NA,1,NA,86,86,446,86,24,"0","sub-008",8,25,86,"in-group","out-group","out-group","different"
"4227",4238,4238,4238,4238,14,"overestimator","overestimator",3,1,4,0,0.5805613,38,8,1,3,1,NA,0,1,NA,1,NA,87,87,447,87,14,"0","sub-008",8,15,87,"in-group","out-group","out-group","different"
"4228",4239,4239,4239,4239,21,"overestimator","overestimator",3,2,1,1,0.8929483,72,8,1,1,NA,1,0,0,1,NA,1,88,88,448,88,21,"1","sub-008",8,22,88,"in-group","out-group","out-group","both_high"
"4229",4240,4240,4240,4240,24,"overestimator","overestimator",3,2,4,0,0.8781532,59,8,2,5,1,NA,0,1,NA,1,NA,89,89,449,89,24,"0","sub-008",8,25,89,"in-group","out-group","out-group","different"
"4230",4241,4241,4241,4241,12,"overestimator","overestimator",3,1,2,0,0.7418303,87,8,1,1,NA,1,0,1,1,NA,1,90,90,450,90,12,"0","sub-008",8,13,90,"in-group","out-group","out-group","both_high"
"4231",4242,4242,4242,4242,12,"overestimator","overestimator",3,1,2,0,0.589829,36,8,1,1,NA,1,0,1,1,NA,1,91,91,451,91,12,"0","sub-008",8,13,91,"in-group","out-group","out-group","both_high"
"4232",4243,4243,4243,4243,14,"overestimator","overestimator",3,1,4,0,0.4060978,48,8,1,3,1,NA,0,1,NA,1,NA,92,92,452,92,14,"0","sub-008",8,15,92,"in-group","out-group","out-group","different"
"4233",4244,4244,4244,4244,34,"overestimator","overestimator",3,3,4,1,0.8566869,38,8,4,6,NA,0,0,0,-1,NA,0,93,93,453,93,34,"1","sub-008",8,35,93,"in-group","out-group","out-group","both_low"
"4234",4245,4245,4245,4245,14,"overestimator","overestimator",3,1,4,0,0.5405635,81,8,1,3,1,NA,0,1,NA,1,NA,94,94,454,94,14,"0","sub-008",8,15,94,"in-group","out-group","out-group","different"
"4235",4246,4246,4246,4246,13,"overestimator","overestimator",3,1,3,0,0.4422563,69,8,1,2,1,NA,0,1,NA,1,NA,95,95,455,95,13,"0","sub-008",8,14,95,"in-group","out-group","out-group","different"
"4236",4247,4247,4247,4247,23,"overestimator","overestimator",3,2,3,0,1.0042568,62,8,2,4,1,NA,0,1,NA,1,NA,96,96,456,96,23,"0","sub-008",8,24,96,"in-group","out-group","out-group","different"
"4237",4248,4248,4248,4248,21,"overestimator","overestimator",3,2,1,0,0.6925829,63,8,2,1,NA,0,0,1,1,NA,0,97,97,457,97,21,"0","sub-008",8,22,97,"in-group","out-group","out-group","both_high"
"4238",4249,4249,4249,4249,12,"overestimator","overestimator",3,1,2,0,0.4661546,53,8,1,1,NA,1,0,1,1,NA,1,98,98,458,98,12,"0","sub-008",8,13,98,"in-group","out-group","out-group","both_high"
"4239",4250,4250,4250,4250,21,"overestimator","overestimator",3,2,1,1,0.4046189,86,8,1,1,NA,1,0,0,1,NA,1,99,99,459,99,21,"1","sub-008",8,22,99,"in-group","out-group","out-group","both_high"
"4240",4251,4251,4251,4251,32,"overestimator","overestimator",3,3,2,1,0.6559192,55,8,2,4,1,NA,0,0,NA,1,NA,100,100,460,100,32,"1","sub-008",8,33,100,"in-group","out-group","out-group","different"
